word,category,department,date_reported,source,context
"accessible","Inclusive language","Multiple","2023-02-15","Example Source 1","Used in accessibility guidelines"
"activism","Political terminology","HHS","2022-11-10","Example Source 2","Internal communications directive"
"activists","Political terminology","HHS","2022-11-10","Example Source 2","Internal communications directive"
"advocacy","Political terminology","Multiple","2022-11-10","Example Source 2","Internal communications directive"
"advocate","Political terminology","Multiple","2022-11-10","Example Source 2","Internal communications directive"
"advocates","Political terminology","Multiple","2022-11-10","Example Source 2","Internal communications directive"
"affirming care","LGBTQ+ terminology","HHS","2022-09-18","Example Source 3","Healthcare communications"
"all-inclusive","DEI terminology","Multiple","2022-10-05","Example Source 4","Policy documents"
"allyship","DEI terminology","Multiple","2022-10-05","Example Source 4","Internal communications"
"anti-racism","DEI terminology","DOE","2022-08-30","Example Source 5","Educational materials"
"antiracist","DEI terminology","DOE","2022-08-30","Example Source 5","Educational materials"
"assigned at birth","LGBTQ+ terminology","HHS","2022-09-18","Example Source 3","Healthcare communications"
"assigned female at birth","LGBTQ+ terminology","HHS","2022-09-18","Example Source 3","Healthcare communications"
"assigned male at birth","LGBTQ+ terminology","HHS","2022-09-18","Example Source 3","Healthcare communications"
"at risk","Social policy terminology","Multiple","2022-10-05","Example Source 4","Policy documents"
"barrier","Social policy terminology","Multiple","2022-10-05","Example Source 4","Policy documents"
"barriers","Social policy terminology","Multiple","2022-10-05","Example Source 4","Policy documents"
"belong","DEI terminology","Multiple","2022-10-05","Example Source 4","Internal communications"
"bias","DEI terminology","Multiple","2022-10-05","Example Source 4","Internal communications"
"biased","DEI terminology","Multiple","2022-10-05","Example Source 4","Internal communications"
